locale,term_column,language,region,language_name,producer,official_rows
en-US,term_en_us,en,US,English (UNITED STATES),LOINC base table,109325
ko-KR,term_ko_kr,ko,KR,"Korean (KOREA, REPUBLIC OF)","Korean Ministry for Health, Welfare, and Family Affairs",26893
zh-CN,term_zh_cn,zh,CN,Chinese (CHINA),"Lin Zhang, A LOINC volunteer from China",95399
ar-JO,term_ar_jo,ar,JO,Arabic (JORDAN),MedLabs Group,457
cs-CZ,term_cs_cz,cs,CZ,Czech (CZECHIA),Aricoma,62866
de-AT,term_de_at,de,AT,German (AUSTRIA),"ELGA, Austria",7296
de-DE,term_de_de,de,DE,German (GERMANY),Friedrich-Alexander-Universität Erlangen-Nürnberg on behalf of the Federal Institute for Drugs and Medical Devices (BfArM),18712
el-GR,term_el_gr,el,GR,Greek (GREECE),"Konstantinos Chalkias, MD, MSc, Ioannis Boutas, MD, Eirini Tzourtzoukli, Medical Coding Department, KE.TE.K.N.Y. S.A., the Greek DRG Institute",91594
es-AR,term_es_ar,es,AR,Spanish (ARGENTINA),Conceptum Medical Terminology Center,38293
es-ES,term_es_es,es,ES,Spanish (SPAIN),"the Clinical Laboratory Committee of SERVICIO EXTREMEÑO DE SALUD, with the support of IQVIA",66058
es-MX,term_es_mx,es,MX,Spanish (MEXICO),Manuel Aragonés. Deep Dive Data Science.,83231
et-EE,term_et_ee,et,EE,Estonian (ESTONIA),Estonian E-Health Foundation,29316
fr-BE,term_fr_be,fr,BE,French (BELGIUM),"Jean M. Prevost, MD, Biopathology",43143
fr-CA,term_fr_ca,fr,CA,French (CANADA),Canada Health Infoway Inc.,50125
fr-FR,term_fr_fr,fr,FR,French (FRANCE),ANS - Agence du Numérique en Santé French e-Health Agency,58356
it-IT,term_it_it,it,IT,Italian (ITALY),Consiglio Nazionale delle Ricerche,95394
nl-NL,term_nl_nl,nl,NL,Dutch (NETHERLANDS),National IT Institute for HealthCare (Nictiz),62727
pl-PL,term_pl_pl,pl,PL,Polish (POLAND),Medical University of Lodz (UMED) and Polish Society of Laboratory Diagnostics (PTDL),42260
pt-BR,term_pt_br,pt,BR,Portuguese (BRAZIL),HL7 Brazil Institute,58468
ru-RU,term_ru_ru,ru,RU,Russian (RUSSIAN FEDERATION),Yaroslavl State Medical Academy,56924
tr-TR,term_tr_tr,tr,TR,Turkish (TURKEY),LOINC Turkish Translation Group and the Turkish Ministry of Health,50013
uk-UA,term_uk_ua,uk,UA,Ukrainian (UKRAINE),"Development of Ukrainian content is going on under the stewardship of the Ministry of Health of Ukraine, National Health service of Ukraine with support of multiple stakeholders and donors",3159
